,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
10,Love Gets a Room,2021,AdventureDrama,7.1 / 10,https://yts.rs/movie/love-gets-a-room-2021," A group of actors perform in the heart of the Warsaw Ghetto, in a life or death context on a run-down stage. ",6565
11,Belle Vie,2022,Documentary,8.1 / 10,https://yts.rs/movie/belle-vie-2022," A much loved Parisian-style bistro located in Los Angeles between a thriving McDonalds and KFC, Belle Vie is owned and operated by the charming and hopeful Vincent Samarco, who struggles to adapt, survive and keep the bistro alive in the midst of a pandemic that has ravaged small businesses everywhere. ",4242
12,Paju,2009,Drama,6.5 / 10,https://yts.rs/movie/paju-2009," Paju, is the name of a place everyone has heard of but don't really know. There, we see a man sharing the lot of the neglected, and the women surrounding him. Bearing the paradox of liaison in the name of love, this place creates the traces of an unknown age. —Pusan International Film Festival ",2727
13,The Chosen,1981,Drama,7.1 / 10,https://yts.rs/movie/the-chosen-1981," Brooklyn 1944. Despite being the same age, having grown up within blocks of each other, and both being Jewish, late teens Danny Saunders and Reuven Malter don't really know each other - knowing each other only by name and by sight - as Orthodox Danny stays largely within his own Hasidic community, which is just fine in Reuven's mind. An incident between the two which on the surface threatens to tear them even further apart instead blossoms into a friendship between the two. They begin to learn more and more about the other and their lives, which for Danny includes becoming a rabbi, solely as it is a several generations old family calling. In Reb Saunders' mind, he who rules his family by strict Hasidic traditions, Danny becoming the next rabbi in the family is not even a question, despite Danny, deep in his heart, wanting other secular pursuits which he has not told his father. Conversely, Reuven has modern sensibilities, being raised in a two-person household by his widowed academic father, Professor David Malter. Ultimately, the views of each father may tear Danny and Reuven's friendship apart, regardless of whether each son believes wholeheartedly in what his father espouses. Professor Malter is a confirmed Zionist who believes in a secular Jewish state in Palestine, while Reb Saunders believes such thinking against Judaism, with only the Messiah being able to lead his people into such. As they grow into adulthood, Danny and Reuven becoming his own man may further alter their relationship. —Huggo ",4747
14,Stepbrothers,1957,Drama,7.2 / 10,https://yts.rs/movie/stepbrothers-1957," In a military family, an illegitimate son is brutalized by his brothers. A patriarchal, feudalistic household where dissent is forbidden is used to reveal the whole imperialist system that afflicted Japan between 1921 and 1946. ",2121
15,Gameui beobjig,1994,Action,6 / 10,https://yts.rs/movie/gameui-beobjig-1994," A car wash attendant Yong-dae decides move to Seoul with his girlfriend Tae-suk for join the most dangerous gang Yu Kwangcheon. On the way to Seoul they lost entire of savings to a swindler Man-su whom the most wanted by Yu Kwangcheon. ",2020
16,Midori harukani,1955,Action,5.8 / 10,https://yts.rs/movie/midori-harukani-1955," A children's musical fantasy based on the novel by Makoto Hojo. A child's music box becomes the hiding place for a secret formula sought by spies, in a road movie adventure that launches when the girl Ruriko goes in search of her kidnapped parents, accompanied by three boys she meets along the way. ",2121
17,Modern Problems,1981,ComedyFantasy,5 / 10,https://yts.rs/movie/modern-problems-1981," Air traffic controller Max Fiedler is unhappy with his career and his second marriage. An exposure to toxic waste gives him the power of telekinesis. He comes to a crossroads at a beachhouse he shares with his wife, his ex, and a voodoo priestess. — ",5656
18,Iron Eagle II,1988,ActionDrama,3.8 / 10,https://yts.rs/movie/iron-eagle-ii-1988," Chappy Sinclair is called to gather together a mixed Soviet/U.S. strike force that will perform a surgical strike on a massively defended nuclear missile site in the Middle East. Chappy finds that getting the Soviet and U.S. Pilots to cooperate is only the most minor of his problems as he discovers someone in the Pentagon is actively sabotaging his mission. As they begin their assault, Chappy finds that a nuclear strike has been ordered should they fail, which will catch his forces on the ground next to ground zero. —John Vogel ",5656
19,My Best Friend's Wedding,2016,ComedyRomance,5 / 10,https://yts.rs/movie/my-best-friends-wedding-2016," Remake of the 1997 classic. Growing up together, Lin Ran is not only Gu Jia's best friend but whom taken as a backup boyfriend unconsciously, until one day Lin Ran announces his engagement with the naive and rich Meng Yi-Xuan, and Gu Jia determines to win him back. —Amygdala ",2424
0,Lost & Found,1999,ComedyRomance,5 / 10,https://yts.rs/movie/lost-found-1999," A comedy about finding your true love at any price. Dylan Ramsey resorts to snatching his beautiful neighbor's dog so he can spend time with her while they go on a phantom dog hunt. Succeeding in his plan, Dylan goes to return the pooch, only to discover that it has hidden Dylan's best friend's diamond ring. —WARNER BROS. ",10302
1,Lupin's Daughter,2021,ActionCrime,4.6 / 10,https://yts.rs/movie/lupins-daughter-2021," The Mikumo family attempts their biggest heist to date by traveling abroad. ",15049
2,Wee Geordie,1955,ComedyDrama,6.9 / 10,https://yts.rs/movie/wee-geordie-1955," Concerned about his small stature, a young Scottish boy applies for a mail-order body-building course and successfully gains both height and strength. At 21, he displays a talent for hammer-throwing and is selected to represent Britain in the 1956 Olympic Games in Melbourne, Australia. —reelstreets ",4646
3,The Spirit of '45,2013,DocumentaryHistory,7 / 10,https://yts.rs/movie/the-spirit-of-45-2013," A documentary on how the spirit of unity, which buoyed Britain during the war years, carried through to create a vision of a fairer, united society. ",4747
4,The Fourth Musketeer,2022,ActionAdventure,3.5 / 10,https://yts.rs/movie/the-fourth-musketeer-2022," At the behest of his father, young d'Artagnan travels from rural Gascony to Paris, where he becomes embroiled in a devious plot between the King's Musketeers and the Guardsmen of Cardinal Richelieu. ",32724
5,An End to Killing,2013,ActionDrama,5.6 / 10,https://yts.rs/movie/an-end-to-killing-2013," In the 1200s, a man arose whose ruthlessness was so feared, he emerged as the greatest empire builder ever known to mankind. Inspired by true historical events. ",6363
6,Valentine Road,2013,CrimeDocumentary,7.1 / 10,https://yts.rs/movie/valentine-road-2013," On February 12, 2008, in Oxnard, California, eighth-grade student Brandon McInerney shot his classmate Larry King twice in the back of the head during first period. When Larry died two days later, his murder shocked the nation. Was this a hate crime, one perpetrated by a budding neo-Nazi whose masculinity was threatened by an effeminate gay kid who may have had a crush on him? Or was there even more to it? Looking beyond all the copious news coverage of this tragic event, Valentine Road tells the story of two victims: the deceased and the murderer. With keen insight, the film connects the human wreckage of Larry's and Brandon's troubled lives-both physically abused, both from broken homes, and both searching for a sense of belonging. —Sundance ",4747
7,On the 3rd Day,2021,DramaFantasy,5.9 / 10,https://yts.rs/movie/on-the-3rd-day-2021," Cecilia and her son Martín have a car accident. On the third day after the crash, she wanders by herself on a lonely route and there is no clue of her son. She can't remember what happened during this time and she is desperately looking for her son. On her quest she finds coincidences with her case and other police files, which seem to be acts of a brutal hunting. The circles goes round and Cecilia will end up facing a religious man, who is the responsible of this slaughter. For her, he is a lunatic. For him, Cecilia is the enemy. ",9696
8,Nine Men,1943,DramaWar,6.3 / 10,https://yts.rs/movie/nine-men-1943," The Nine men of the title are a British WWII Army patrol stuck in a desert fort during the African campaign. The Men must defend the fort against the Italian and German troops until they cam be relieved. —Steve Crook ",5252
9,The Magnet,2000,CrimeDrama,5.9 / 10,https://yts.rs/movie/the-magnet-2000," The story of a group of friends, stars of a quiet life of night breaks and free time in a poor district of Marseille. One summer, a tragedy with racism as the key will fall on their lives. ",3131
10,Operation Overlord,2021,War,3.3 / 10,https://yts.rs/movie/operation-overlord-2021," A week before storming the beaches of Normandy, two US Soldiers infiltrate an abandoned complex to rescue a prisoner of war from the clutches of the Nazi regime. ",13534
11,"For 200 Grand, You Get Nothing Now",1982,Comedy,6 / 10,https://yts.rs/movie/for-200-grand-you-get-nothing-now-1982," After getting screwed over by life (again), two losers decide that enough is enough. Using stolen ski masks and stolen toy guns, they take hostages in their local bank, holding them for ransom. Things go well until the hostages learn what's going on, and demand a piece of the action for themselves. —Derek Upham ",3535
12,Cinderella Game,2016,Drama,4.1 / 10,https://yts.rs/movie/cinderella-game-2016,"  ",4949
13,PT Raiders,1955,CrimeDrama,6.8 / 10,https://yts.rs/movie/pt-raiders-1955," After intense wartime naval experiences a trio buy their old ship but then have to use it for smuggling and worse, before finally having to come to their senses. —Steve Crook ",5252
14,Riot,1969,CrimeDrama,5.9 / 10,https://yts.rs/movie/riot-1969," Cully Briston is serving a 5 year sentence in an Arizona prison. He's not getting along well with the Sergeant of the guards who, on finding a bottle of moonshine near Cully, sends him to the isolation block. Arriving there Cully discovers that inmates have taken over the block and have taken the guards as hostages to demand better living conditions. Inmate Red Fraker, leader of the revolt, has a secret plan to escape with a few other inmates and asks Cully to join them. Red explains there's an old tunnel under the prison auditorium of which prison staff is unaware. Cully plans to brew moonshine to get the other inmates drunk while the select few escape. —nufs68 ",4949
15,Yellow Flowers on the Green Grass,2015,Drama,7.5 / 10,https://yts.rs/movie/yellow-flowers-on-the-green-grass-2015," Set in the countryside village of Vietnam, Yellow Flowers on the Green grass is a touching tale of innocent love, friendships and brotherhood. ",4848
16,Blank Generation,1980,DramaMusic,4.7 / 10,https://yts.rs/movie/blank-generation-1980," Nada, a beautiful French journalist on assignment in New York, records the life and work of an up and coming punk rock star, Billy. Soon she enters into a volatile relationship with him and must decide whether to continue with it, or return to her lover, a fellow journalist trying to track down the elusive Andy Warhol. —INFOFREAKO ",4040
17,Nowhere to Go,1958,CrimeDrama,6.8 / 10,https://yts.rs/movie/nowhere-to-go-1958," Paul Gregory (George Nader) is sprung from jail in London by his accomplice after getting a stretch as expected for robbing a woman who falls for his charms. Only he knows how to get to the money, but his partner is getting greedy, and as things turn sour, Gregory finds that home in Canada is a long way away. —Jeremy Perkins {J-26} ",4747
18,Memories and Confessions,1993,BiographyHistory,7.1 / 10,https://yts.rs/movie/memories-and-confessions-1993," A docu-drama that follows Manoel de Oliveira's life during the times of dictatorship in Portugal. ",3030
19,Malevil,1981,DramaSci-Fi,6.5 / 10,https://yts.rs/movie/malevil-1981," In southern France, in a quaint little town, the mayor, who also owns a castle with some cattle, is in the wine cellar with some other people--the pharmacist, the veterinary, and some of his employees. As they are drinking wine, they hear a terrible noise and the heat's getting higher and higher. They don't realize what's happening: when they come out of the cellar, they realize that everything has burned, and all the buildings are destroyed. —Anonymous ",4040
0,Cleopatra,1934,BiographyDrama,6.8 / 10,https://yts.rs/movie/cleopatra-1934," In 48 BC, Cleopatra, facing palace revolt in her kingdom of Egypt, welcomes the arrival of Julius Caesar as a way of solidifying her power under Rome. When Caesar, whom she has led astray, is killed, she transfers her affections to Marc Antony and dazzles him on a barge full of DeMillean splendor. But the trick may not work a third time... ",5757
1,Python,2000,ActionComedy,3.7 / 10,https://yts.rs/movie/python-2000," After a military plane crash near a small American town, a giant man-eating snake sets off on a killing spree. The locals must find a way to eliminate the snake, with the help of a scientist who knows about the snake to kill it. ",7171
2,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",2011,ActionDocumentary,7.7 / 10,https://yts.rs/movie/beats-rhymes-life-the-travels-of-a-tribe-called-quest-2011," Having forged a 20-year run as one of the most innovative and influential hip hop bands of all time, the Queens NY collective known as 'A Tribe Called Quest' have kept a generation hungry for more of their groundbreaking music since their much publicized breakup in 1998. Michael Rapaport documents the inner workings and behind the scenes drama that follows the band to this day. He explores what's next for, what many claim, are the pioneers of alternative rap. —Anonymous ",6262
3,The Rogues,1987,ActionAdventure,6.3 / 10,https://yts.rs/movie/the-rogues-1987," The adventures of two derelicts. They are prisoners in a battleship, then, after a mutiny, they succeed to become officers. They leave the boat and start to drift all around the Spain with the mere goal to reach something to eat. A prostitute could set their life. —1felco ",7878
4,I Am,2010,ActionDocumentary,7.5 / 10,https://yts.rs/movie/i-am-2010," Director Tom Shadyac speaks with intellectual and spiritual leaders about what's wrong with our world and how we can improve both it and the way we live in it. ",4141
5,Mookuthi Amman (2020),2020,ActionComedy,6.6 / 10,https://yts.rs/movie/mookuthi-amman-2020-2020," Goddess Mookuthi Amman descends on Earth and uses a television reporter to expose fake godmen. ",7171
6,At Home in Mitford,2017,DramaFamily,6.1 / 10,https://yts.rs/movie/at-home-in-mitford-2017," With a case of writer's block, a children's author escapes to small town Mitford for a change of scenery. She soon finds the heart and soul of the southern town in a priest as they work together to care for a young boy who's lost his family. With heartbreak in their pasts, each must find the courage and faith to grab an unexpected chance at true love. ",5151
7,Why?,2019,ActionHorror,3.3 / 10,https://yts.rs/movie/why-2019," Writer Blake Sinclair finds herself in a fight for her life against a bloodthirsty maniac who has been leaving multiple victims in his wake as he returns to the mountain town of Northdale. ",13635
8,Sincerely Louis CK (Video 2020),2020,ActionComedy,8.4 / 10,https://yts.rs/movie/sincerely-louis-ck-video-2020-2020," In the long anticipated and controversial comeback of Louis CK, he doesn't hold back when discussing topics like religion, god, pedophilia, traveling Europe, and of course his sexual misconduct accusations in his brand new special. ",7575
9,Await the Dawn (2020),2020,ActionHorror,3.4 / 10,https://yts.rs/movie/await-the-dawn-2020-2020," Annie (Dee Wallace) a desperate mother is traveling cross country with her family to seek professional treatment for her daughter's drug addiction. Their plans are quickly derailed as Howard (Josh Server), a desperate man with a terrible secret, ambushes their RV at gunpoint. With little to no reason given, he instructs them to transport him as far away as possible. However, they are quickly cut off by a mysterious 9 year old girl. She may seem like a sweet all American girl, but deep inside, she harbors an immense otherworldly evil. The troubled family must now put their trust in their captor, as they try to survive the night...and Await the Dawn. ",8585
10,Quando tramonta il sole,1956,Action,6 / 10,https://yts.rs/movie/quando-tramonta-il-sole-1956,"  ",3131
11,Chinese Speaking Vampires,2021,Action,4.5 / 10,https://yts.rs/movie/chinese-speaking-vampires-2021," A desperate actor becomes a vampire and uses his new powers to land a movie role and the girl, but then must choose between life and the undead. ",11009
12,Only People,2018,ActionDrama,5 / 10,https://yts.rs/movie/only-people-2018," Two friends who've had feelings for one another for years decide to set aside their current relationships for a weekend to meet and explore what could've been. ",13332
13,A cavallo della tigre,1961,ComedyDrama,7.2 / 10,https://yts.rs/movie/a-cavallo-della-tigre-1961," An inept thief wants to escape prison and return to his family, but two of his prison mates also want out. ",3535
14,Las heridas del viento,2017,Drama,5.1 / 10,https://yts.rs/movie/las-heridas-del-viento-2017," His father's death forces David to take charge of his legacy. Among their belongings is something unexpected: letters of love of another man. Baffled by the discovery, he decides to visit the alleged lover of his father and discover the truth. ",3434
15,Bruno,2019,Drama,7 / 10,https://yts.rs/movie/bruno-2019," A homeless man searching for his lost dog forges an unexpected bond with a young boy. ",7979
16,To Tokyo,2018,ActionDrama,4.5 / 10,https://yts.rs/movie/to-tokyo-2018," Challenged by her step-sister to return home, a young woman hiding from her past in a remote Japanese village, is abducted into a fantastic wilderness and pursued by a monster, with only four nights to escape to Tokyo and face her demons. ",5555
17,Cerebrum,2021,ActionSci-Fi,3.8 / 10,https://yts.rs/movie/cerebrum-2021," A test subject at a memory transfer lab commits a crime he cannot remember ",19089
18,La variabile umana,2013,ActionCrime,5.2 / 10,https://yts.rs/movie/la-variabile-umana-2013,"  ",4040
19,Atlantis,2019,ActionDrama,6.8 / 10,https://yts.rs/movie/atlantis-2019," A soldier suffering from PTSD befriends a young volunteer hoping to restore peaceful energy to a war-torn society. ",4545
0,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,AdventureDocumentary,7.5 / 10,https://yts.rs/movie/lost-soul-the-doomed-journey-of-richard-stanleys-island-of-dr-moreau-2014," A behind the scenes chronicle of how clash of vision, bad creative decisions, lack of interest and really bad weather plagued the disastrous production of the infamous The Island of Dr. Moreau (1996). ",5353
1,Invisible Lies,2021,ActionDrama,2.3 / 10,https://yts.rs/movie/invisible-lies-2021," A Black lawyer must come to grip with his prejudices after falling in love with a White woman while simultaneously defending a Black teenager who has been wrongfully accused of drugging and raping his White girlfriend. ",8080
2,Childhood 2.0,2020,ActionDocumentary,7.6 / 10,https://yts.rs/movie/childhood-2-0-2020," For the first time in history, mental illness and suicide have become one of the greatest threats to school-aged children in America. Many parents still view dangers as primarily physical and external and are missing the real danger: constant connectivity's pervasive internal assault on mental health. This film is an exploration of the dramatic technological and cultural shift that children and parents have faced since the rise of social networks and mobile devices. Childhood 2.0 dives into the issues of addiction and withdrawal, anxiety and depression, online abuse and bullying, the pervasiveness of pornography, the culture of sexting and unforeseen consequences, the rise of online pedophilia and sexual predators, the loss of free play and autonomy and the rapid growth of suicide among children and teens. ",8989
3,Senior Entourage (2021),2021,ActionComedy,4.4 / 10,https://yts.rs/movie/senior-entourage-2021-2021," Senior Entourage is a wild, wacky ""Mockumentary"" comedy featuring a zany, multi-racial cast ranging in age from 9 to 90. It's ""Seinfeld for seniors"" starring Ed Asner, Helen Reddy, Charlie Robinson, Marion Ross and Mark Rydell ",7575
4,Crappy Mother's Day (2021),2021,ActionComedy,3.7 / 10,https://yts.rs/movie/crappy-mothers-day-2021-2021," 3 generations of women come together on Mother's Day. Things don't go as planned. ",5858
5,Reboot Camp,2020,ActionComedy,5.7 / 10,https://yts.rs/movie/reboot-camp-2020," After finding out that his wife has blown their life savings on self-help gurus, Seymour teams up with his brother Danny, a filmmaker, to document how easy it is to start a fake self-help group and con people into believing just about anything. But once started, the Reboot Camp takes on a life of its own, and grows into a full-blown cult. ",8686
6,Fünf letzte Tage,1982,DramaHistory,7 / 10,https://yts.rs/movie/funf-letzte-tage-1982," In Wittelbacherpalais, Munich's prison and Gestapo center, middle-aged Else Gebel awaits trial for carrying anti-Nazi material. She serves as a clerk in the Gestapo office. On Thursday, 18 February 1943, two youths arrive at the prison, arrested for carrying anti-Reich pamphlets and suspected of dropping leaflets from the university tower and painting anti-Hitler signs along Ludwigstraße: Sophie, 21, and her brother Hans, 24 and back from the Russian front. Sophie is housed with Else, and for five days, as Sophie is interrogated and charges brought, the women form a bond based on simple interactions: poetry, tea, shared clothing, courage, love of freedom, and a promise Else gives Sophie. — ",3333
7,3 Women,2020,ActionDrama,3.6 / 10,https://yts.rs/movie/3-women-2020," 3 Women is a powerful yet touching drama examining the lives of three disparate women reliant on their faith as they strive to gain respect as they go about their lives in their corner of London. Pre lives in an abusive relationship and has a history of domestic abuse since childhood. Nicola is a career executive and is struggling to find respect among her peers in a male dominated environment. Sajmal is a nurse struggling to hold her family together as her brother slides into gang related activities and fights to gain respect and bring about peace between the warring local and Islamic cultures in her community. ",6060
8,Stealing Chaplin,2020,ActionDrama,5.2 / 10,https://yts.rs/movie/stealing-chaplin-2020," Inspired by real events, two Las Vegas based con men dig up and steal the corpse of comedian Charlie Chaplin in order to ransom it. With the theft gaining the world's attention and the reward rising daily, soon every local lowlife, criminal and dirty cop wants a piece of the action. ",6161
9,Chokorietta,2014,ActionDrama,5.7 / 10,https://yts.rs/movie/chokorietta-2014," At the age of 5, girl's mother dies in a car accident. Ever since then, the girl closes herself within. In high school, she borrows a famous Film from a boy, a graduate of the movie study club. The film was a favorite of her mother. When the girl tells him that she wants to die, he answers, I had thought of killing. He has the same kind of despair that she has. He suggests that they make a film together. They decide to ride a bike and travel far for location. But they entered to the polluted by radioactivity. ",2828
10,Painkiller Jane,2005,ActionDrama,5.1 / 10,https://yts.rs/movie/painkiller-jane-2005," After an army unit is exposed to a biochemical weapon, everyone is killed except one young woman. She not only recovers from the exposure but has developed the ability to recover from any type of injury within days. After discovering that the army is not trying to help cure her, but rather is experimenting on her to develop a serum to be used on other soldiers, she escapes. Obviously the army wants to hunt her down and get her back under their security. ",10100
11,Threshold (2020),2020,ActionDrama,4.4 / 10,https://yts.rs/movie/threshold-2020-2020," THRESHOLD follows a sister, claiming to be cursed, as she persuades her brother to embark on a cross country road trip to break her spell. ",7979
12,Delivery: The Beast Within,2013,ActionHorror,5.3 / 10,https://yts.rs/movie/delivery-the-beast-within-2013," Delivery tells the story of Kyle and Rachel Massy, a young couple who agree to document their first pregnancy for a family-oriented reality show. The production spirals out-of-control after the cameras capture a series of unexplained events, leading Rachel to believe that a malevolent spirit has possessed their unborn child. ",6969
13,The Midwife,2021,ActionHorror,5.1 / 10,https://yts.rs/movie/the-midwife-2021," Suffering a mental collapse after a miscarriage, a desperate woman tries to make sense of the supernatural occurrences bringing chaos to her young family. Is the unrested spirit of her dead child haunting the property or are the demons closer to home? ",8383
14,Action in the North Atlantic,1943,ActionDrama,7 / 10,https://yts.rs/movie/action-in-the-north-atlantic-1943," Lieutenant Joe Rossi is 1st Officer on a Liberty Ship in a great convoy bound from Halifax to Murmansk. After German subs crushed the convoy his ship loses the convoy and is heading alone to Murmansk. In spite of attacks by German planes and subs he get the ship safely to Murmansk... —Stephan Eichenberg ",5555
15,Dangerous Game,1993,Drama,5.6 / 10,https://yts.rs/movie/dangerous-game-1993," Filmmaker Eddie Israel is staring to shoot ""The Mother of Mirrors,"" starring Francis Burns and Sarah Jennings. ""The Mother of Mirrors"" is the story of the last night of a couple falling into decay. Eddie is very demanding with the actors, and the film's heavy atmosphere acts upon the protagonists' daily lives. —Yepok ",4949
16,State of the Union,1948,ComedyDrama,7.3 / 10,https://yts.rs/movie/state-of-the-union-1948," Kay Thorndyke (Dame Angela Lansbury) loves Grant Matthews (Spencer Tracy) and helps him become Republican nominee for President. The party machine begins to worry as Grant begins to speak for himself. At an important dinner, his wife Mary (Katharine Hepburn) condemns corrupt politicians, and Grant learns to speak out even more boldly. ",5353
17,Hot Bot,2016,ComedySci-Fi,3.4 / 10,https://yts.rs/movie/hot-bot-2016," Hot Bot is the hilarious journey of two sexually repressed and unpopular teenage geeks who accidentally discover a life-like super-model sex bot (Bardot). —Anonymous ",8282
18,Party with Me,2021,ActionComedy,6.5 / 10,https://yts.rs/movie/party-with-me-2020," After the sudden death of her distant father, a young woman copes by distracting herself with alcohol, drugs and the antics of her misguided friends. ",6565
19,Painkiller,2021,ActionThriller,4.4 / 10,https://yts.rs/movie/painkiller-2021," After a man loses his child, he begins a campaign to destroy the white collar criminals behind the opioid epidemic, and reluctantly embraces his anti-hero status. ",13534
0,Death Sentences (2020),2020,ActionThriller,5.2 / 10,https://yts.rs/movie/death-sentences-2020-2020," A blocked writer is made a proposition by the spirit of her celebrated-author cousin: 'Find my killer and I will finish your novel.' ",6666
1,The American King (2020),2020,ActionComedy,2.1 / 10,https://yts.rs/movie/the-american-king-2020-2020," In 2020, a mysterious Priestess arrives in the USA to fulfill a 400 year old Prophecy: to choose an American King (Akon) who will rebuild an ancient African Kingdom . The CIA scrambles to find information for the President, leading to the unraveling of the most guarded Secret about the founding of the USA. The President running for re-election, has to decide if he can Make Africa Great Again. —Ihotu LLC ",5858
2,Gross Anatomy,1989,ActionDrama,6.1 / 10,https://yts.rs/movie/gross-anatomy-1989," A smart first-year med student takes nothing seriously, except the pursuit of his Gross Anatomy (human dissection) lab partner. It's up to her and their teacher to find a way to convince him to take his studies and life seriously. ",6666
3,Treasure Lies,2020,ActionDrama,5 / 10,https://yts.rs/movie/treasure-lies-2020," Hardworking teenager Sean feels let down by life, but faces a crisis of character through a series of his own bad decisions. ",8686
